Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,CheckGateState,StatisticsSystem,NumGateBlocks,NumInputTypeBlocks,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
13385,1644634,612999168,26877952,735338496,586831,0,23204,0,0,0,0,0,0,2124,1728.0,3348.0,0.0,76.0,0.0,1.0
13386,2854494,613253120,26877952,735338496,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13387,665628,613253120,26877952,735338496,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13388,3360953,613253120,26877952,735338496,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13389,1017939,613253120,26877952,735338496,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13390,3571779,613253120,26877952,735338496,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13391,666270,613253120,26877952,735338496,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13392,3566339,613253120,26877952,735338496,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13393,1299157,613253120,26877952,735338496,568546,0,23494,0,0,0,0,0,0,1653,1728.0,3348.0,0.0,76.0,0.0,1.0
13394,2909306,613253120,26877952,735338496,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13395,784932,613253120,26873856,735334400,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13396,3557071,613253120,26873856,735334400,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13397,1058245,613253120,26877952,735338496,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13398,3329965,613253120,26877952,735338496,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13399,1020864,613253120,26877952,735338496,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13400,3347017,613253120,26877952,735338496,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13401,1633142,613253120,26877952,735338496,601418,0,25829,0,0,0,0,0,0,1623,1728.0,3348.0,0.0,76.0,0.0,1.0
13402,2900340,613515264,26877952,735338496,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13403,684484,613515264,26877952,735338496,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13404,3526704,613515264,26877952,735338496,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13405,643026,613515264,26877952,735338496,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13406,3484695,613515264,26877952,735338496,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13407,734388,613515264,26873856,735334400,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13408,3387633,613515264,26873856,735334400,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13409,1646678,613515264,26877952,735338496,590237,0,23604,0,0,0,0,0,0,2004,1728.0,3348.0,0.0,76.0,0.0,1.0
13410,2793369,613515264,26877952,735338496,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13411,670678,613515264,26877952,735338496,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13412,3343671,613515264,26877952,735338496,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13413,1020664,613515264,26877952,735338496,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13414,3459067,613515264,26877952,735338496,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13415,983675,613515264,26877952,735338496,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13416,4202572,613515264,26877952,735338496,3432016,0,23043,0,0,0,0,0,0,2074,1728.0,3348.0,0.0,76.0,0.0,1.0
13417,1185252,613781504,26886144,735346688,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13418,3547403,613781504,26886144,735346688,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13419,627607,613781504,26886144,735346688,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13420,3555447,613781504,26886144,735346688,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13421,641193,613781504,26886144,735346688,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13422,3475979,613781504,26886144,735346688,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13423,1336046,613785600,26877952,735338496,560811,0,22473,0,0,0,0,0,0,1844,1728.0,3348.0,0.0,76.0,0.0,1.0
13424,2944191,613785600,26877952,735338496,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13425,831549,613781504,26873856,735334400,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13426,3569313,613781504,26873856,735334400,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13427,620764,613781504,26873856,735334400,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
